Internações SUS
AIHs Pagas por Munic Resid SP e Ano de Competência
CID10 3 dígitos: A08   Infecc intestinais virais outr e as NE
Fx Etária 1: Menor de 1 ano, 1-4 anos
Período:2008-2016
"Munic Resid SP";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Total"
"353130 Monte Alto";0;0;0;0;3;1;0;2;0;6
"353160 Monte Castelo";5;3;6;5;5;4;1;1;3;33
"353180 Monte Mor";11;11;6;0;0;0;0;0;0;28
"353190 Morro Agudo";1;1;1;0;0;0;0;0;0;3
"353200 Morungaba";0;5;1;0;0;0;0;0;0;6
"353205 Motuca";0;0;1;0;0;0;0;0;0;1
"353215 Nantes";0;0;0;0;0;1;0;0;0;1
"353240 Nazaré Paulista";1;0;0;0;0;0;0;0;0;1
"353270 Nipoã";0;0;1;0;0;0;0;0;0;1
"353280 Nova Aliança";0;0;0;0;1;0;0;0;0;1
"353290 Nova Europa";0;0;0;0;0;0;0;1;0;1
"353310 Nova Guataporanga";7;3;3;4;4;4;2;2;0;29
"353320 Nova Independência";1;0;1;0;0;3;0;0;0;5
"353340 Nova Odessa";0;0;0;1;0;0;0;0;0;1
"353350 Novo Horizonte";0;0;1;0;0;0;3;0;7;11
"353360 Nuporanga";0;1;0;0;0;0;0;0;0;1
"353430 Orlândia";0;10;0;0;0;1;0;0;0;11
"353440 Osasco";2;9;8;4;0;0;10;9;8;50
"353470 Ourinhos";6;0;3;1;1;0;1;1;1;14
"353475 Ouroeste";0;0;0;3;2;0;0;0;1;6
"353520 Palmeira d'Oeste";10;13;7;18;12;4;7;3;0;74
"353530 Palmital";10;2;0;0;1;1;0;0;0;14
"353540 Panorama";7;6;6;5;5;8;9;3;9;58
"353550 Paraguaçu Paulista";24;14;31;18;12;18;15;35;26;193
"353580 Paranapanema";1;0;0;0;0;0;0;0;0;1
"353590 Paranapuã";0;0;0;0;1;0;0;0;0;1
"353600 Parapuã";1;0;0;0;0;0;0;1;0;2
"353610 Pardinho";0;0;0;0;2;0;0;0;0;2
"353620 Pariquera-Açu";0;0;3;1;0;0;1;0;0;5
"353625 Parisi";0;1;0;0;0;0;1;0;0;2
"353630 Patrocínio Paulista";0;0;0;0;1;0;0;0;1;2
"353640 Paulicéia";2;0;1;2;2;1;2;1;6;17
"353650 Paulínia";0;0;0;0;2;0;0;0;0;2
"353670 Pederneiras";0;0;0;3;4;1;0;0;1;9
"353690 Pedranópolis";2;0;0;0;0;0;0;0;0;2
"353700 Pedregulho";0;1;0;0;0;1;0;0;1;3
"353710 Pedreira";1;0;0;0;0;0;0;0;1;2
"353715 Pedrinhas Paulista";1;1;0;1;0;2;0;0;0;5
"353740 Pereira Barreto";0;1;0;0;1;0;0;0;0;2
"353750 Pereiras";0;0;0;0;1;0;0;0;0;1
"353760 Peruíbe";10;10;9;6;0;1;0;0;0;36
"353770 Piacatu";1;0;0;0;0;0;0;0;1;2
"353780 Piedade";2;0;0;0;0;0;0;0;0;2
"353790 Pilar do Sul";14;0;0;1;0;0;0;0;0;15
"353850 Piquete";2;1;1;1;4;1;1;1;0;12
"353860 Piracaia";0;1;1;0;1;0;2;0;0;5
"353870 Piracicaba";30;53;53;19;24;31;32;44;23;309
"353880 Piraju";35;21;53;29;36;15;18;24;30;261
"353890 Pirajuí";11;2;0;0;0;0;0;0;0;13
"353900 Pirangi";9;8;3;4;2;4;8;1;3;42
"353910 Pirapora do Bom Jesus";0;1;1;1;0;1;1;0;2;7
"353920 Pirapozinho";0;0;0;1;0;0;0;0;0;1
"353930 Pirassununga";3;6;1;1;1;0;0;0;0;12
"353950 Pitangueiras";0;0;0;1;0;0;0;1;0;2
"353960 Planalto";0;0;3;0;0;0;0;1;0;4
"353970 Platina";1;1;4;4;2;0;2;0;1;15
"353980 Poá";0;1;1;1;1;0;1;1;0;6
"353990 Poloni";1;0;0;0;0;0;0;0;0;1
"354020 Pontal";1;0;0;0;0;0;0;0;0;1
"354025 Pontalinda";0;0;0;0;1;0;0;0;0;1
"354030 Pontes Gestal";0;1;1;0;0;0;0;0;0;2
"354040 Populina";0;0;2;2;0;0;0;0;0;4
"354060 Porto Feliz";46;44;53;3;1;1;0;0;0;148
"354070 Porto Ferreira";1;0;0;0;1;2;0;0;0;4
"354075 Potim";0;0;0;0;1;0;0;0;0;1
"354080 Potirendaba";7;5;5;5;6;2;8;2;7;47
"354090 Pradópolis";0;0;0;0;0;0;1;0;0;1
"354100 Praia Grande";2;0;4;0;5;0;1;0;0;12
"354110 Presidente Alves";0;0;0;0;0;0;0;1;0;1
"354120 Presidente Bernardes";14;11;18;15;15;18;23;13;18;145
"354130 Presidente Epitácio";0;0;1;0;0;0;0;0;0;1
"354140 Presidente Prudente";0;3;7;1;2;0;0;1;0;14
"354150 Presidente Venceslau";0;1;0;0;0;0;0;0;0;1
"354160 Promissão";1;9;2;0;0;6;0;3;3;24
"354170 Quatá";0;0;0;0;0;1;0;0;0;1
"354180 Queiroz";0;0;0;0;0;0;0;0;1;1
"354190 Queluz";3;2;0;1;0;1;0;0;0;7
"354210 Rafard";1;0;0;0;0;0;0;0;0;1
"354240 Regente Feijó";1;3;1;0;0;0;0;0;0;5
"354250 Reginópolis";2;0;0;0;0;0;0;0;0;2
"354260 Registro";0;1;0;0;0;0;0;0;0;1
"354270 Restinga";3;1;1;2;0;2;0;0;0;9
"354290 Ribeirão Bonito";1;1;0;2;0;0;0;0;0;4
"354300 Ribeirão Branco";0;0;0;0;0;0;0;1;0;1
"354310 Ribeirão Corrente";0;0;3;1;2;0;1;0;0;7
"354320 Ribeirão do Sul";0;1;0;0;0;0;0;0;0;1
"354330 Ribeirão Pires";12;14;13;11;3;4;3;0;3;63
"354340 Ribeirão Preto";7;14;21;2;2;5;6;2;1;60
